Date,Suspected Cases (24h),Suspected Cases (Cumulative),Confirmed Cases (24h),Confirmed Cases (Cumulative),Hospitalized (Cumulative),Recovered (Cumulative),Suspected Deaths (24h),Suspected Deaths (Cumulative),Confirmed Deaths (24h),Confirmed Deaths (Cumulative),Press Release URL,PDF URL
2026-04-02,685,3709,26,585,2363,1930,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০২০৪২০২৬-sliyex-69ce523b868baf31c627e7cb,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/a3f2ba79-8bd2-46fd-8313-cfcc6c084271.pdf
2026-04-03,947,5792,42,771,3776,2527,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৩০৪২০২৬-z0qn3x-69cfa3eadae26458db686248,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/8dc97421-c797-415a-b6d3-3c437b2852c2.pdf
2026-04-04,787,6476,60,826,4628,2654,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৪০৪২০২৬-77x0bm-69d0ee336f69908fa2e1f28e,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/895771df-04d0-4aeb-9f8f-2014156b776b.pdf
2026-04-05,974,7610,54,929,5470,3380,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৫০৪২০২৬-vekgyu-69d254a7d47e90032cfcef99,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/9e2edce9-d7fc-48da-ae19-57a1a521c0e6.pdf
2026-04-06,1282,8534,180,1099,5940,6016,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৬০৪২০২৬-g1cxa6-69d3cbacd47e90032cfd665b,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/edadc3d0-4ae3-4d54-b095-23465dde3561.pdf
2026-04-07,1236,9883,224,1398,6883,4635,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৭০৪২০২৬-xloxgg-69d4d59371a8aedda5eb3d86,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/53d218b6-39dc-471a-9908-37597d752f20.pdf
2026-04-08,1248,11133,189,1599,7577,5241,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৮০৪২০২৬-242iuq-69d651502ddf64102bc5f7d8,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/ca075965-256b-43c8-9b12-aeb35e7ca044.pdf
2026-04-09,1187,12320,642,2241,8251,5801,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৯০৪২০২৬-jcu9mm-69d7974d9d736d71f1a56320,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/851a956d-c2a6-45ce-9201-6905d467f634.pdf
2026-04-10,1177,13497,168,2409,8910,6609,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৯০৪২০২৬-yztis7-69d79774868baf31c62a0b9d,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/8fc33bdf-9ff5-4851-b52b-e56334295498.pdf
2026-04-11,888,14385,80,2489,9463,7022,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১১০৪২০২৬-wtw9kf-69da2ed16f69908fa2e407b6,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/051959af-648c-400c-84ec-2cb2adc35348.pdf
2026-04-12,1268,15653,150,2639,10225,7656,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১২০৪২০২৬-6zqvnk-69dcc3cf508fd61cddc9075e,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/ed553882-fdf7-4222-ad7d-4abb1093d2ec.pdf
2026-04-13,1371,17024,82,2721,10954,8369,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৩০৪২০২৬-c9yall-69dcc40439d811754a66b2ed,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/d9d46c53-9bda-4466-8b9f-c144ca9ce3b6.pdf
2026-04-14,1105,18129,176,2897,11652,9304,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৪০৪২০২৬-a8vbde-69de05de91a6f56f1fa8bc90,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/ebfabb0a-4596-4c58-b26a-b80c830eecf2.pdf
2026-04-15,1032,19161,76,2973,12318,9772,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৫০৪২০২৬-wplb5t-69df625adb601f2f93b47a70,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/78804b73-cf2a-4880-a9ae-2d7161e13114.pdf
2026-04-16,1191,20352,92,3065,13129,10496,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৬০৪২০২৬-4owai9-69e0c931e3444b2e09d90ed7,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/501f51e4-f446-4044-ac5f-30644a9288f1.pdf
2026-04-17,1115,21467,127,3192,13898,11243,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৭০৪২০২৬-gav9ve-69e2097a2bea4766e9c91746,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/009ad3ca-2655-4ab3-a779-2802ba9b860b.pdf
2026-04-18,942,22409,86,3278,14522,11751,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৮০৪২০২৬-hcr1q2-69e36b39e252a315b7e7474c,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/60c598de-df11-4bdd-b151-f9e8a08c848d.pdf
2026-04-19,1197,23606,165,3443,15326,12396,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৯০৪২০২৬-4bdkmn-69e4bf9adb601f2f93b5529c,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/355f0db2-d34b-4e7c-81e7-65cc6d34b5ef.pdf
2026-04-20,1170,24776,174,3617,16172,13258,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২০০৪২০২৬-dt5yg4-69e612c04366ea37079738c6,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/df35201c-7d6d-4caa-b524-260a7b0f7479.pdf
2026-04-21,1159,25935,188,3805,17085,14106,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২১০৪২০২৬-64rm68-69e75c69e3444b2e09da32c6,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/51b7b213-8277-4878-bdb4-838be5272105.pdf
2026-04-22,1229,27164,129,3934,17998,14892,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২২০৪২০২৬-ra03f1-69e89bbdb8a34f9a2dedde5d,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/cc6e4c1b-50ae-44bd-9d41-238acb41ac99.pdf
2026-04-23,1170,28334,125,4059,18845,15728,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৩০৪২০২৬-iaaryi-69e9f19806fca003045f6717,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/5f159ac3-55ec-470b-ad8a-40f3642e7957.pdf
2026-04-24,1215,29549,172,4231,19705,16527,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৪০৪২০২৬-ur2g6h-69eb4262b8a34f9a2dee41c6,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/e66eb1d2-7472-4440-be96-c15bb880f15e.pdf
2026-04-25,1058,30607,229,4460,20475,17081,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৫০৪২০২৬-2cindz-69ec89b3db601f2f93b6c258,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/734b0559-5ba3-4bc8-9b95-b37d791acf92.pdf
2026-04-26,1421,32028,143,4603,21434,17955,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৬০৪২০২৬-oprsrv-69edd3812bea4766e9cb48f2,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/1b00ae7a-c18d-4b22-8c21-c97268764ff6.pdf
2026-04-27,1358,33386,90,4693,22442,19018,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৭০৪২০২৬-yu5tfl-69ef3681ddc482a11212738c,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/abb6445f-bcf8-471e-af5f-fec567f3cf62.pdf
2026-04-28,1276,34662,163,4856,23348,19991,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৮০৪২০২৬-r74qne-69f0705e7163cfde16ec6e46,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/dea6de3a-6418-47bb-becd-6c4f2cfaf879.pdf
2026-04-29,1318,35980,88,4944,24310,20822,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৯০৪২০২৬-wvx7ql-69f1c1a887220b917a0e5013,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/996ee162-7b6c-49ad-ac52-48649efce18c.pdf
2026-04-30,1151,37131,84,5028,25158,21756,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-৩০০৪২০২৬-w97kbo-69f32f8307757087ae1b376c,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/3/0290733a-8726-4ce3-9971-c69d95994ef2.pdf
2026-05-01,1170,38301,115,5146,26100,22650,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০১০৫২০২৬-s4itf5-69f484af2dce6da0f1d4505c,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
2026-05-02,1024,39325,72,5218,26911,23225,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০২০৫২০২৬-e417k1-69f5b4a7e8be323b8da2faa8,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/8718ab9a-b8b0-4771-8171-1689be79acee.pdf
2026-05-03,1166,40491,95,5313,27816,24090,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৩০৫২০২৬-5vxxxq-69f717de4244b58424853039,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
2026-05-04,1302,41793,154,5467,28842,25151,2.0,24.0,15.0,1.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৪০৫২০২৬-xqd8u7-69f896a463702c74225454d2,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
2026-05-05,1186,42979,259,5726,29831,26368,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৫০৫২০২৬-o462o0-69f9be9c4244b5842485fb2d,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/de88d227-13ed-4af4-a910-0d93fea0d297.pdf
2026-05-06,1281,44260,373,6099,30885,27223,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৬০৫২০২৬-iq84dj-69fb0a3b24af039d1b7a3f5d,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/9e852147-7950-4eab-847d-1235f9c0d617.pdf
2026-05-07,1238,45498,286,6208,31912,28238,24.0,179.0,2.0,1.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৭০৫২০২৬-auw2f1-69fc77b1a9b39d45e9d82261,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/b74eaa3f-69eb-467f-bd26-d54fa103d2bb.pdf
2026-05-08,1212,46710,282,6490,32862,29152,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৮০৫২০২৬-n7z0q9-69fdcdf8a8c82147b68c57b8,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/d7d30198-1c55-41fa-8c4f-33ec501d638b.pdf
2026-05-09,946,47656,489,6979,33631,29746,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০৯০৫২০২৬-xd38rx-69fee74ba059cb59a80ae679,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/eb0902c8-d064-45f7-914b-6d5963222198.pdf
2026-05-10,1503,49159,205,6819,34909,30862,24.0,24.0,3.0,2.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১০০৫২০২৬-zve3ig-6a008a04a8c82147b68ce204,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
2026-05-11,1341,50500,118,6937,35980,31992,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১১০৫২০২৬-7ke21c-6a019a3603e2ae3c0d36d53b,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/8a09e9e6-374b-40e7-a112-80a5e11a552f.pdf
2026-05-12,1105,51567,87,7024,36881,32877,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১২০৫২০২৬-eidw1b-6a02e29f6762733bbf9ab797,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/f56e06f9-5429-4cf2-9a81-3c0982f3766f.pdf
2026-05-13,1489,53056,126,7150,38054,33832,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৩০৫২০২৬-aiqal6-6a04553c87a6fde6b39e476d,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/936741b8-99ca-46c9-a39c-7610301f5686.pdf
2026-05-14,1363,54419,155,7305,39160,34968,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৪০৫২০২৬-k5zy8v-6a0593059f0c5ba58e6fbf6d,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/52fe889d-9910-4b42-8967-01593b6d8d1c.pdf
2026-05-15,1192,55611,111,7416,40176,36055,3.0,24.0,24.0,2.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৫০৫২০২৬-vuk01m-6a06f3b0163c98157b024a7c,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/47924e6f-7671-41c7-a4ae-4e8bd9b30828.pdf
2026-05-16,961,56572,108,7524,41028,36645,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৬০৫২০২৬-8n1glw-6a0837724cb0a0494f03f28d,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/a359ad71-a9d2-4080-bbea-8e6cc442efa8.pdf
2026-05-17,1274,57846,243,7767,42092,37744,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৭০৫২০২৬-d1e1ob-6a098f5104d89a37d7fa585d,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/498e9ea4-34a0-48d6-9588-abeeba690ff2.pdf
2026-05-18,1405,54911,89,7856,42868,38980,5.0,389.0,0.0,75.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৮০৫২০২৬-aadip9-6a0b2c1e4cb0a0494f04db4e,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/a376bebb-000b-466b-945c-64febb6a2e8f.pdf
2026-05-19,1264,56586,73,7929,43983,40090,9.0,398.0,2.0,77.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-১৮০৫২০২৬-gn9prm-6a0c4ded9da92ab7e49a61a2,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/d7d87be6-ac7a-4435-b3bc-cd710eb7e79b.pdf
2026-05-20,1270,57856,138,8067,45128,41120,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২০০৫২০২৬-y7oz6b-6a0d987fc8bc218c41d2e09f,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/8a454ad9-e966-447f-874f-a94a617a9a47.pdf
2026-05-21,1423,59279,208,8275,46407,42336,4.0,405.0,3.0,83.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২১০৫২০২৬-tzmze2-6a0ef8ec163c98157b04a73b,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/eabd9a2d-bc7c-4c9f-9b0d-a8a4c38942e5.pdf
2026-05-22,1261,60540,54,8329,47511,43411,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২২০৫২০২৬-3gkzy3-6a102f1c1de55a12d872bba0,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/5194b2ba-cc39-441d-af41-bade66bc1ec7.pdf
2026-05-23,972,62507,49,8494,49389,45011,12.0,426.0,1.0,86.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৩০৫২০২৬-732pmf-6a116cd2a8c92ace1b2d33c6,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/079d5f4f-24f7-426c-a9e7-9cb1586fb109.pdf
2026-05-24,1306,63813,128,8622,50558,46214,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৪০৫২০২৬-wjsgxp-6a12d68d53b3a668fb758fb0,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/f56ad7fa-1a4a-4d38-b581-4be22c736665.pdf
2026-05-25,1127,64940,97,8719,51585,47619,16.0,458.0,1.0,87.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৫০৫২০২৬-refu28-6a14238353b3a668fb75a808,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/94858796-9ece-4b03-a97e-af6e672ddda4.pdf
2026-05-26,1083,66023,53,8772,52530,48800,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৬০৫২০২৬-aeb6rh-6a157032977edbd1f133f2fc,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/683a36c8-33a3-4aee-83aa-aeef3dbfc3bd.pdf
2026-05-27,1056,67079,62,8834,53463,49903,5.0,472.0,0.0,88.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৭০৫২০২৬-k9x5ut-6a16ce2b8cecc6bec6d48439,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/a3382e9b-1c81-441d-9bf3-c86bcde6d18d.pdf
2026-05-28,826,67905,51,8885,54182,50926,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৮০৫২০২৬-7vgata-6a1818047fa93b1e330fd224,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/f2b281cf-e7ab-4e54-b77e-e68695255424.pdf
2026-05-29,674,68579,58,8943,54798,51511,24.0,24.0,7.0,5.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-২৯০৫২০২৬-yrnmu1-6a1968cea627b249ba062574,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/cb3ab537-7249-4230-9160-83109133f790.pdf
2026-05-30,1033,69612,53,8996,55705,52050,8.0,493.0,0.0,90.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-৩০০৫২০২৬-6lzsvn-6a1aa9e4265639b451fbc7eb,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/f8b047de-28bd-4c5e-b8af-79ae8a8e4428.pdf
2026-05-31,1324,70936,53,9049,56886,52841,,,,,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-৩১০৫২০২৬-7djxm0-6a1bffc4040d753b4f037678,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/4/ede0cdde-e280-4a31-844a-38c34d9a1e9e.pdf
2026-06-01,1134,72070,45,9094,57902,53722,3.0,498.0,0.0,90.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০১০৬২০২৬-svxfgk-6a1d5f8b8cecc6bec6d4c399,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/5/4ed9a1c0-15dc-4728-a4c1-c0aa17b50644.pdf
2026-06-02,1292,73362,42,9136,59106,54812,6.0,504.0,0.0,90.0,https://dghs.gov.bd/pages/press-releases/হাম-প্রেস-রিলিজ-০২০৬২০২৬-m6tbds-6a1eafee4912f6e4018bc53e,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dghs/2026/5/30d38ac9-05cb-4e13-bfcd-5749a53c445e.pdf
